AID,Type,ID,From,To,Dep(min),Dur(min),Rem_A(min),Rem_B(min),Rem_C(days),Rem_D(days)
2,FLIGHT,F288,H,C,26706.0,104.0,240.0,420.0,3.424,1.456
2,MAINT,A,C,C,26810.0,45.0,,,,
2,FLIGHT,F329,C,G,29697.0,145.0,240.0,316.0,1.347,-0.621
3,MAINT,D,I,I,0.0,420.0,,,,
3,FLIGHT,F3,I,D,568.0,175.0,240.0,420.0,3.897,6.897
3,MAINT,A,D,D,743.0,45.0,,,,
3,FLIGHT,F39,D,B,3859.0,68.0,240.0,245.0,1.612,4.612
3,FERRY,FERRY,B,G,3927.0,60.0,,,,
3,FLIGHT,F48,G,L,4930.0,114.0,172.0,177.0,0.868,3.868
3,MAINT,B,L,L,5044.0,90.0,,,,
3,FLIGHT,F61,L,D,6217.0,110.0,240.0,420.0,-0.026,2.974
3,MAINT,C,D,D,6327.0,240.0,,,,
3,FLIGHT,F75,D,L,7713.0,73.0,240.0,420.0,3.204,1.935
3,FLIGHT,F80,L,D,7902.0,155.0,167.0,347.0,3.073,1.804
3,MAINT,A,D,D,8057.0,45.0,,,,
3,FLIGHT,F114,D,F,11093.0,151.0,240.0,192.0,0.857,-0.412
3,FERRY,FERRY,F,B,11244.0,60.0,,,,
3,MAINT,D,B,B,11304.0,420.0,,,,
3,FLIGHT,F120,B,G,12103.0,139.0,240.0,420.0,3.737,6.737
3,FERRY,FERRY,G,B,12242.0,60.0,,,,
3,MAINT,A,B,B,12302.0,45.0,,,,
3,FLIGHT,F154,B,D,15295.0,176.0,240.0,281.0,1.52,4.52
3,MAINT,A,D,D,15471.0,45.0,,,,
3,FLIGHT,F192,D,E,19366.0,69.0,240.0,105.0,-1.307,1.693
3,MAINT,C,E,E,19435.0,240.0,,,,
3,FLIGHT,F198,E,B,19681.0,119.0,240.0,420.0,3.996,1.474
3,FLIGHT,F203,B,G,20534.0,70.0,121.0,301.0,3.403,0.882
3,FERRY,FERRY,G,L,20604.0,60.0,,,,
3,MAINT,A,L,L,20664.0,45.0,,,,
3,FLIGHT,F209,L,I,20762.0,178.0,240.0,231.0,3.245,0.724
3,MAINT,B,I,I,20940.0,90.0,,,,
3,FLIGHT,F234,I,E,22584.0,95.0,240.0,420.0,1.98,-0.542
3,FERRY,FERRY,E,G,22679.0,60.0,,,,
3,MAINT,D,G,G,22739.0,420.0,,,,
3,FLIGHT,F278,G,J,25643.0,88.0,240.0,420.0,2.275,5.275
3,MAINT,A,J,J,25731.0,45.0,,,,
3,FLIGHT,F289,J,G,26788.0,173.0,240.0,332.0,1.48,4.48
3,MAINT,A,G,G,26961.0,45.0,,,,
3,FLIGHT,F299,G,C,27071.0,88.0,240.0,159.0,1.283,4.283
3,MAINT,B,C,C,27159.0,90.0,,,,
3,FLIGHT,F317,C,J,28455.0,161.0,240.0,420.0,0.322,3.322
3,MAINT,A,J,J,28616.0,45.0,,,,
3,FLIGHT,F335,J,A,29943.0,80.0,240.0,259.0,-0.711,2.289
4,FERRY,FERRY,L,I,0.0,60.0,,,,
4,MAINT,D,I,I,60.0,420.0,,,,
4,FLIGHT,F10,I,F,1139.0,163.0,240.0,420.0,3.542,6.542
4,FERRY,FERRY,F,L,1302.0,60.0,,,,
4,MAINT,A,L,L,1362.0,45.0,,,,
4,FLIGHT,F69,L,J,6452.0,144.0,240.0,257.0,-0.147,2.853
4,MAINT,C,J,J,6596.0,240.0,,,,
4,FLIGHT,F91,J,H,8316.0,126.0,240.0,420.0,2.972,1.558
4,MAINT,A,H,H,8442.0,45.0,,,,
4,FLIGHT,F106,H,D,9802.0,133.0,240.0,294.0,1.94,0.526
4,FLIGHT,F121,D,E,12128.0,104.0,107.0,161.0,0.325,-1.089
4,MAINT,D,E,E,12232.0,420.0,,,,
4,FLIGHT,F134,E,B,13374.0,88.0,240.0,420.0,3.499,6.499
4,FLIGHT,F137,B,D,13595.0,130.0,152.0,332.0,3.345,6.345
4,MAINT,A,D,D,13725.0,45.0,,,,
4,FLIGHT,F142,D,G,14025.0,175.0,240.0,202.0,3.047,6.047
4,MAINT,B,G,G,14200.0,90.0,,,,
4,FLIGHT,F160,G,J,15584.0,161.0,240.0,420.0,1.964,4.964
4,FERRY,FERRY,J,B,15745.0,60.0,,,,
4,FLIGHT,F167,B,G,16620.0,76.0,79.0,259.0,1.244,4.244
4,MAINT,A,G,G,16696.0,45.0,,,,
4,FLIGHT,F201,G,L,19843.0,65.0,240.0,183.0,-0.994,2.006
4,FERRY,FERRY,L,B,19908.0,60.0,,,,
4,MAINT,C,B,B,19968.0,240.0,,,,
4,FLIGHT,F206,B,F,20682.0,77.0,240.0,420.0,3.671,1.424
4,FLIGHT,F248,F,K,23721.0,105.0,163.0,343.0,1.56,-0.687
4,FERRY,FERRY,K,I,23826.0,60.0,,,,
4,MAINT,D,I,I,23886.0,420.0,,,,
4,FLIGHT,F276,I,G,25602.0,136.0,240.0,420.0,3.1,6.1
4,FLIGHT,F286,G,L,26618.0,97.0,104.0,284.0,2.394,5.394
4,MAINT,A,L,L,26715.0,45.0,,,,
4,FLIGHT,F301,L,H,27800.0,109.0,240.0,187.0,1.574,4.574
4,FLIGHT,F303,H,A,27923.0,65.0,131.0,78.0,1.488,4.488
4,FERRY,FERRY,A,H,27988.0,60.0,,,,
4,MAINT,B,H,H,28048.0,90.0,,,,
4,FLIGHT,F324,H,I,29376.0,105.0,240.0,420.0,0.479,3.479
