instance,variant,mode,flights,aircraft,days,variables,constraints,z_variables,build_s,solver,time_limit_s,status,objective,dual_bound,primal_bound,mip_gap,nodes,runtime_s,coverage,error
DataCplex_density=0.65_p=8_h=14_test_7,baseline,lp,64,8,14,2896,6598,2048,0.233066,highs,300,optimal,29759.0,29759.0,29759.0,0.0,,0.817975,,
DataCplex_density=0.65_p=8_h=14_test_7,baseline,milp,64,8,14,2896,6598,2048,0.241593,highs,300,optimal,29759.0,29759.0,29759.0,0.0,,1.682335,,
DataCplex_density=0.65_p=8_h=14_test_7,combined,lp,64,8,14,1104,3269,256,0.226371,highs,300,optimal,29759.0,29759.0,29759.0,0.0,,0.393614,,
DataCplex_density=0.65_p=8_h=14_test_7,combined,milp,64,8,14,1104,3269,256,0.213648,highs,300,optimal,29759.0,29759.0,29759.0,0.0,,0.998616,,
DataCplex_density=0.65_p=8_h=14_test_8,heuristic:greedy+insertion,heuristic,64,8,,,,,,none,,partial,43106.0,,,,,0.036836,0.84375,10 unassigned
DataCplex_density=0.65_p=8_h=14_test_8,baseline,lp,64,8,14,2896,6598,2048,0.270708,highs,300,optimal,29771.0,29771.0,29771.0,0.0,,0.76654,,
DataCplex_density=0.65_p=8_h=14_test_8,baseline,milp,64,8,14,2896,6598,2048,0.256088,highs,300,optimal,29771.0,29771.0,29771.0,0.0,,1.716396,,
DataCplex_density=0.65_p=8_h=14_test_8,combined,lp,64,8,14,1104,3269,256,0.2278,highs,300,optimal,29771.0,29771.0,29771.0,0.0,,0.389954,,
DataCplex_density=0.65_p=8_h=14_test_8,combined,milp,64,8,14,1104,3269,256,0.219114,highs,300,optimal,29771.0,29771.0,29771.0,0.0,,0.973014,,
DataCplex_density=0.65_p=8_h=14_test_9,heuristic:greedy+insertion,heuristic,64,8,,,,,,none,,partial,43147.0,,,,,0.036575,0.84375,10 unassigned
DataCplex_density=0.65_p=8_h=14_test_9,baseline,lp,64,8,14,2896,6598,2048,0.232521,highs,300,optimal,29784.0,29784.0,29784.0,0.0,,0.81214,,
DataCplex_density=0.65_p=8_h=14_test_9,baseline,milp,64,8,14,2896,6598,2048,0.245,highs,300,optimal,29784.0,29784.0,29784.0,0.0,,1.675618,,
DataCplex_density=0.65_p=8_h=14_test_9,combined,lp,64,8,14,1104,3269,256,0.225652,highs,300,optimal,29784.0,29784.0,29784.0,0.0,,0.399367,,
DataCplex_density=0.65_p=8_h=14_test_9,combined,milp,64,8,14,1104,3269,256,0.216669,highs,300,optimal,29784.0,29784.0,29784.0,0.0,,0.99161,,
